Ponto;Lat;Lon;Altura;Altura G;Altura C;Lon UTM;Lat UTM
AUTO0245;-23,97611;-46,32204;-5,193;-4,61;-0,582999999999999;365501,030947767;7347787,7905337
AUTO0246;-23,97612;-46,32203;-5,198;-4,61;-0,588;365502,058813258;7347786,69274102
AUTO0247;-23,97612;-46,32202;-5,172;-4,61;-0,561999999999999;365503,076294249;7347786,70228277
AUTO0248;-23,97612;-46,32202;-5,184;-4,61;-0,574;365503,076294249;7347786,70228277
AUTO0249;-23,97613;-46,32201;-5,21;-4,61;-0,6;365504,104159504;7347785,60448996
AUTO0250;-23,97613;-46,322;-5,194;-4,61;-0,584;365505,121640411;7347785,61403157
AUTO0251;-23,97613;-46,322;-5,198;-4,61;-0,588;365505,121640411;7347785,61403157
AUTO0252;-23,97614;-46,32199;-5,227;-4,61;-0,617;365506,149505427;7347784,51623862
AUTO0253;-23,97615;-46,32198;-5,209;-4,61;-0,598999999999999;365507,177370289;7347783,4184456
AUTO0254;-23,97615;-46,32198;-5,194;-4,61;-0,584;365507,177370289;7347783,4184456
AUTO0255;-23,97615;-46,32197;-5,201;-4,61;-0,590999999999999;365508,194851032;7347783,42798699
AUTO0256;-23,97615;-46,32196;-5,247;-4,61;-0,637;365509,212331772;7347783,43752832
AUTO0257;-23,97616;-46,32196;-5,184;-4,61;-0,574;365509,222715655;7347782,33019384
AUTO0258;-23,97616;-46,32195;-5,168;-4,61;-0,558;365510,240196313;7347782,33973509
AUTO0259;-23,97616;-46,32195;-5,194;-4,61;-0,584;365510,240196313;7347782,33973509
AUTO0260;-23,97617;-46,32194;-5,226;-4,61;-0,616;365511,268060699;7347781,2419418
AUTO0261;-23,97617;-46,32193;-5,176;-4,61;-0,566;365512,285541274;7347781,25148292
AUTO0262;-23,97617;-46,32193;-5,214;-4,61;-0,604;365512,285541274;7347781,25148292
AUTO0263;-23,97618;-46,32192;-5,221;-4,61;-0,611;365513,313405423;7347780,15368949
AUTO0264;-23,97618;-46,32191;-5,242;-4,61;-0,632;365514,330885913;7347780,16323046
AUTO0265;-23,97618;-46,32191;-5,173;-4,61;-0,563;365514,330885913;7347780,16323046
AUTO0266;-23,97619;-46,3219;-5,183;-4,61;-0,573;365515,358749825;7347779,06543689
AUTO0267;-23,97619;-46,3219;-5,204;-4,61;-0,593999999999999;365515,358749825;7347779,06543689
AUTO0268;-23,97619;-46,32189;-5,234;-4,61;-0,624;365516,376230231;7347779,07497772
AUTO0269;-23,9762;-46,32188;-5,251;-4,61;-0,641;365517,404093905;7347777,97718402
AUTO0270;-23,9762;-46,32188;-5,188;-4,61;-0,577999999999999;365517,404093905;7347777,97718402
AUTO0271;-23,9762;-46,32187;-5,194;-4,61;-0,584;365518,421574228;7347777,98672471
AUTO0272;-23,9762;-46,32187;-5,227;-4,61;-0,617;365518,421574228;7347777,98672471
AUTO0273;-23,97621;-46,32186;-5,223;-4,61;-0,613;365519,449437664;7347776,88893087
AUTO0274;-23,97621;-46,32185;-5,189;-4,61;-0,579;365520,466917903;7347776,89847142
AUTO0275;-23,97622;-46,32184;-5,194;-4,61;-0,584;365521,494781102;7347775,80067744
AUTO0276;-23,97622;-46,32184;-5,182;-4,61;-0,572;365521,494781102;7347775,80067744
AUTO0277;-23,97622;-46,32183;-5,22;-4,61;-0,609999999999999;365522,512261256;7347775,81021785
AUTO0278;-23,97623;-46,32183;-5,235;-4,61;-0,625;365522,522644146;7347774,7028834
AUTO0279;-23,97623;-46,32182;-5,198;-4,61;-0,588;365523,540124218;7347774,71242374
AUTO0280;-23,97623;-46,32181;-5,226;-4,61;-0,616;365524,557604288;7347774,721964
AUTO0281;-23,97624;-46,32181;-5,247;-4,61;-0,637;365524,567987025;7347773,61462956
AUTO0282;-23,97624;-46,3218;-5,259;-4,61;-0,649;365525,585467013;7347773,62416975
AUTO0283;-23,97624;-46,32179;-5,204;-4,61;-0,593999999999999;365526,602946999;7347773,63370988
AUTO0284;-23,97625;-46,32179;-5,218;-4,61;-0,608;365526,613329583;7347772,52637544
AUTO0285;-23,97625;-46,32178;-5,242;-4,61;-0,632;365527,630809488;7347772,53591549
AUTO0286;-23,97625;-46,32177;-5,223;-4,61;-0,613;365528,648289389;7347772,54545547
AUTO0287;-23,97626;-46,32177;-5,214;-4,61;-0,604;365528,658671819;7347771,43812104
AUTO0288;-23,97626;-46,32176;-5,237;-4,61;-0,627;365529,676151639;7347771,44766095
AUTO0289;-23,97626;-46,32175;-5,254;-4,61;-0,643999999999999;365530,693631456;7347771,45720079
AUTO0290;-23,97627;-46,32175;-5,223;-4,61;-0,613;365530,704013734;7347770,34986636
AUTO0291;-23,97627;-46,32174;-5,24;-4,61;-0,63;365531,72149347;7347770,35940613
AUTO0292;-23,97628;-46,32173;-5,252;-4,61;-0,641999999999999;365532,749355328;7347769,2616114
AUTO0293;-23,97628;-46,32173;-5,266;-4,61;-0,656;365532,749355328;7347769,2616114
AUTO0294;-23,97628;-46,32172;-5,244;-4,61;-0,633999999999999;365533,76683498;7347769,27115103
AUTO0295;-23,97629;-46,32171;-5,213;-4,61;-0,603;365534,794696599;7347768,17335617
AUTO0296;-23,97629;-46,32171;-5,238;-4,61;-0,628;365534,794696599;7347768,17335617
AUTO0297;-23,9763;-46,3217;-5,265;-4,61;-0,654999999999999;365535,822558064;7347767,07556124
AUTO0298;-23,9763;-46,32169;-5,314;-4,61;-0,704;365536,840037551;7347767,08510066
AUTO0299;-23,9763;-46,32169;-5,239;-4,61;-0,629;365536,840037551;7347767,08510066
AUTO0300;-23,97631;-46,32168;-5,266;-4,61;-0,656;365537,867898778;7347765,98730559
AUTO0301;-23,97631;-46,32168;-5,156;-4,61;-0,545999999999999;365537,867898778;7347765,98730559
AUTO0302;-23,97631;-46,32167;-5,219;-4,61;-0,609;365538,885378181;7347765,99684487
AUTO0303;-23,97631;-46,32167;-5,231;-4,61;-0,621;365538,885378181;7347765,99684487
AUTO0304;-23,97631;-46,32166;-5,232;-4,61;-0,622;365539,902857579;7347766,00638407
AUTO0305;-23,97631;-46,32165;-5,235;-4,61;-0,625;365540,920336977;7347766,01592321
AUTO0306;-23,97631;-46,32165;-5,244;-4,61;-0,633999999999999;365540,920336977;7347766,01592321
AUTO0307;-23,97631;-46,32165;-5,253;-4,61;-0,643;365540,920336977;7347766,01592321
AUTO0308;-23,9763;-46,32164;-5,234;-4,61;-0,624;365541,927434942;7347767,13279668
AUTO0309;-23,9763;-46,32164;-5,223;-4,61;-0,613;365541,927434942;7347767,13279668
AUTO0310;-23,97629;-46,32163;-5,197;-4,61;-0,587;365542,934533066;7347768,24967007
AUTO0311;-23,97629;-46,32163;-5,204;-4,61;-0,593999999999999;365542,934533066;7347768,24967007
AUTO0312;-23,97628;-46,32163;-5,166;-4,61;-0,556;365542,924151723;7347769,35700447
AUTO0313;-23,97628;-46,32162;-5,153;-4,61;-0,542999999999999;365543,941631347;7347769,36654338
AUTO0314;-23,97627;-46,32162;-5,173;-4,61;-0,563;365543,931250088;7347770,47387777
AUTO0315;-23,97627;-46,32161;-5,131;-4,61;-0,521;365544,948729788;7347770,48341661
AUTO0316;-23,97626;-46,32161;-5,164;-4,61;-0,553999999999999;365544,938348611;7347771,590751
AUTO0317;-23,97625;-46,3216;-5,107;-4,61;-0,497;365545,945447293;7347772,70762414
AUTO0318;-23,97625;-46,3216;-5,115;-4,61;-0,505;365545,945447293;7347772,70762414
AUTO0319;-23,97624;-46,32159;-5,059;-4,61;-0,449;365546,952546134;7347773,82449721
AUTO0320;-23,97623;-46,32159;-5,075;-4,61;-0,465;365546,942165126;7347774,93183159
AUTO0321;-23,97623;-46,32158;-5,1;-4,61;-0,489999999999999;365547,959645133;7347774,94137019
AUTO0322;-23,97622;-46,32158;-5,028;-4,61;-0,417999999999999;365547,949264208;7347776,04870457
AUTO0323;-23,97621;-46,32158;-5,072;-4,61;-0,462;365547,938883287;7347777,15603895
AUTO0324;-23,9762;-46,32157;-5,029;-4,61;-0,419;365548,94598261;7347778,27291185
AUTO0325;-23,9762;-46,32157;-5,044;-4,61;-0,433999999999999;365548,94598261;7347778,27291185
